date,library,sklearn_version,yobx_version,n_estimators,n_predictable,n_converted,coverage_pct
2026-07-27T10:52:23Z,lightgbm,1.9.0,0.1.0,3,3,3,100.00
2026-07-27T10:52:23Z,sklearn,1.9.0,0.1.0,210,197,177,89.85
2026-07-27T10:52:23Z,sksurv,1.9.0,0.1.0,18,18,2,11.11
2026-07-27T10:52:23Z,statsmodels,1.9.0,0.1.0,1,1,1,100.00
2026-07-27T10:52:23Z,xgboost,1.9.0,0.1.0,5,5,5,100.00
2026-08-02T16:15:52Z,category_encoders,1.9.0,0.1.0,20,20,8,40.00
2026-08-02T16:15:52Z,imblearn,1.9.0,0.1.0,4,4,4,100.00
2026-08-02T16:15:52Z,lightgbm,1.9.0,0.1.0,3,3,3,100.00
2026-08-02T16:15:52Z,sklearn,1.9.0,0.1.0,210,197,177,89.85
2026-08-02T16:15:52Z,sksurv,1.9.0,0.1.0,18,18,2,11.11
2026-08-02T16:15:52Z,statsmodels,1.9.0,0.1.0,1,1,1,100.00
2026-08-02T16:15:52Z,xgboost,1.9.0,0.1.0,5,5,5,100.00
2026-08-03T10:53:14Z,category_encoders,1.9.0,0.1.0,20,20,8,40.00
2026-08-03T10:53:14Z,imblearn,1.9.0,0.1.0,4,4,4,100.00
2026-08-03T10:53:14Z,lightgbm,1.9.0,0.1.0,3,3,3,100.00
2026-08-03T10:53:14Z,sklearn,1.9.0,0.1.0,210,197,177,89.85
2026-08-03T10:53:14Z,sksurv,1.9.0,0.1.0,18,18,2,11.11
2026-08-03T10:53:14Z,statsmodels,1.9.0,0.1.0,1,1,1,100.00
2026-08-03T10:53:14Z,xgboost,1.9.0,0.1.0,5,5,5,100.00
2026-08-10T08:54:17Z,category_encoders,1.9.0,0.1.0,20,20,8,40.00
2026-08-10T08:54:17Z,imblearn,1.9.0,0.1.0,4,4,4,100.00
2026-08-10T08:54:17Z,lightgbm,1.9.0,0.1.0,3,3,3,100.00
2026-08-10T08:54:17Z,sklearn,1.9.0,0.1.0,210,197,177,89.85
2026-08-10T08:54:17Z,sksurv,1.9.0,0.1.0,18,18,2,11.11
2026-08-10T08:54:17Z,statsmodels,1.9.0,0.1.0,1,1,1,100.00
2026-08-10T08:54:17Z,xgboost,1.9.0,0.1.0,5,5,5,100.00
