date,package,last_day,last_week,last_month
2026-06-20T06:51:37Z,protobuf,27631901,194096874,816352537
2026-06-21T06:15:21Z,protobuf,21965456,195620334,805960872
2026-06-22T11:57:54Z,protobuf,20680999,195425920,797215618
2026-06-22T12:37:58Z,protobuf,20680999,195425920,797215618
2026-06-26T11:18:17Z,protobuf,30585127,195391142,826678027
2026-06-29T11:34:57Z,protobuf,20054280,193562654,801188397
2026-07-02T13:26:26Z,protobuf,31094283,189722868,821196762
2026-07-03T06:59:35Z,protobuf,29766948,188904689,818394718
2026-07-07T15:42:38Z,protobuf,28955108,185705048,791474198
2026-07-13T09:57:43Z,protobuf,19599393,188422090,804907936
2026-07-20T09:44:47Z,protobuf,19914395,193370661,804181723
2026-07-22T08:39:14Z,protobuf,31517074,193196701,822766277
2026-08-02T16:15:08Z,protobuf,24296239,207642952,829997049
2026-08-03T10:26:50Z,protobuf,23834916,210571017,827890782
2026-08-04T13:06:29Z,protobuf,32877063,212234741,840652560
2026-08-07T06:26:11Z,protobuf,33149629,217513307,865918801
2026-08-10T21:28:37Z,protobuf,22339641,218997919,858198025
2026-08-13T21:27:13Z,protobuf,34481390,214426321,888424997
2026-08-14T21:42:29Z,protobuf,33629104,214905796,891028355
2026-08-17T07:37:41Z,protobuf,21824676,209950503,875264209
2026-08-20T06:29:26Z,protobuf,33331694,209291599,905011223
