date,commit,run_id,size,name
2026-08-04T13:29:06Z,1b413b8ef00bdd02c3a606a5e137c3f51f8836b6,30911666111,7935070,onnx_light-0.1.12-cp312-cp312-linux_x86_64.whl
2026-08-07T06:52:47Z,ad301e3f1a2d619b2dd33e1f05a2df291fac4276,31153804017,7917585,onnx_light-0.1.13-cp312-cp312-linux_x86_64.whl
2026-08-09T13:40:01Z,047160f931c86946e16ed61d06a3af4097691470,31315467312,7919886,onnx_light-0.1.16-cp312-cp312-linux_x86_64.whl
2026-08-10T07:10:09Z,6c3dd2d9ac91784d6c79753bdb0bf3c2a8cf9d23,31362979170,7919886,onnx_light-0.1.16-cp312-cp312-linux_x86_64.whl
2026-08-10T21:52:25Z,82f6093f252284075540b07727501a5f53cda8aa,31433954942,7827044,onnx_light-0.1.17-cp312-cp312-linux_x86_64.whl
2026-08-13T21:40:02Z,645aa79fd793993416c1c16cd111876d6c21a9c7,31745177339,8103178,onnx_light-0.1.17-cp312-cp312-linux_x86_64.whl
2026-08-14T22:08:31Z,4226ceb893cbcc0cb2891253f117edd764b9f577,31843448227,8203622,onnx_light-0.1.17-cp312-cp312-linux_x86_64.whl
2026-08-17T06:23:39Z,d9599e758546d49b62e1198795756ca6502a1ec8,31999339320,8532269,onnx_light-0.1.17-cp312-cp312-linux_x86_64.whl
2026-08-17T10:36:34Z,d9bd9f47b299d9033f8e73048da692345e639304,32018549451,8572867,onnx_light-0.1.17-cp312-cp312-linux_x86_64.whl
2026-08-18T13:58:59Z,c98ab1dfc1578180f7e96bde8ae68cec430f69b4,32142454623,8720137,onnx_light-0.1.19-cp312-cp312-linux_x86_64.whl
2026-08-19T06:08:44Z,bc8237e1520cf4ad1f65d0b234f7a40d06d9fdba,32220107443,9086306,onnx_light-0.1.20-cp312-cp312-linux_x86_64.whl
2026-08-21T09:32:18Z,e2b50844d34f2d8d4b8c2c0ff4a816f803438e81,32465696487,9272715,onnx_light-0.1.21-cp312-cp312-linux_x86_64.whl
2026-08-22T09:27:04Z,22a46ce7322d2ac5ea25e60accc164368cbfd6b0,32563576076,9418274,onnx_light-0.1.21-cp312-cp312-linux_x86_64.whl
