date,package,last_day,last_week,last_month
2026-06-20T06:51:37Z,scikit-learn,7063798,49723708,204269853
2026-06-21T06:15:21Z,scikit-learn,5564639,49779233,201963561
2026-06-22T11:57:54Z,scikit-learn,5355872,49824003,200188172
2026-06-22T12:37:58Z,scikit-learn,5355872,49824003,200188172
2026-06-26T11:18:17Z,scikit-learn,7825915,49424744,208552697
2026-07-03T06:59:35Z,scikit-learn,7674549,49082664,209353596
2026-07-07T15:42:38Z,scikit-learn,7415790,47717425,203699901
2026-07-13T09:57:44Z,scikit-learn,5591578,50386749,208435138
2026-07-16T05:44:15Z,scikit-learn,8240089,52276740,214971136
2026-07-20T09:44:47Z,scikit-learn,5470588,52171448,210882878
2026-07-21T17:09:05Z,scikit-learn,7833124,51756010,213151363
2026-07-27T10:28:57Z,scikit-learn,5650289,52394945,213474323
2026-08-10T08:16:05Z,scikit-learn,6358940,55508647,227903236
2026-08-10T21:28:38Z,scikit-learn,6358940,55508647,227903236
2026-08-13T21:27:13Z,scikit-learn,8934748,56427564,234734522
2026-08-14T21:42:29Z,scikit-learn,9189931,57567204,235145666
2026-08-17T07:37:42Z,scikit-learn,6477563,57830262,233216644
